,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
4124,0,0,1,0,0,0,1,20,1,0,14,28,0,3,0,8,1,0,1.21428571428571,1,1,0,0.0,1,1
6410,0,0,1,0,0,2,3,21,2,0,4,4,2,3,0,6,2,2,9.75,2,1,0,0.428571428571429,5,0
160,1,0,1,2,0,0,1,122,2,8,44,112,0,4,2,6.5,2,0,1.8595041322314,1,1,0,0.285714285714286,1,5
3399,1,3,1,1,0,0,2,83,5,16,39,86,0,3,2,30,4,0,3.19811320754717,0,1,0,0.285714285714286,6,2
212,0,0,1,0,0,0,1,22,1,2,8,25,0,3,0,9,2,0,1.55555555555556,1,1,0,0.0,1,1
5528,0,0,1,3,0,0,1,32,1,3,11,30,0,3,0,12,2,0,1.48484848484848,0,1,0,0.0,1,2
59,17,7,1,1,0,2,1,417,26,2,32,7,0,3,19,14,2,0,2.19318181818182,0,0,0,0.5,1,2
5525,5,0,1,1,2,0,2,35,1,7,15,28,0,4,0,4,1,0,3.575,1,1,0,1.0,3,4
117,7,0,2,1,0,4,3,137,4,9,13,1.0,1,3,0,16.0,2,0,5.41463414634146,1,1,0,0.8,3,7
204,2,0,1,1,0,2,2,75,3,8,8,13,0,2,0,18,5,0,4.26086956521739,0,1,0,0.0,4,6
624,1,2,1,1,0,8,1,1632,1,12,7,42.0,0,3,27,94,2,0,3.60913705583756,0,1,0,0.875,4,10
6488,10,0,1,4,0,0,2,27,1,2,4,14.5,0,3,0,9,1,0,5.14285714285714,1,1,0,0.5,1,3
4637,1,0,1,0,2,0,1,106,1,7,9,176,0,3,2,36,4,0,2.54891304347826,1,1,0,0.4,4,9
3061,4,0,1,1,0,5,5,109,1,0,13,5,6,2,0,11,2,2,10.0,1,1,0,0.4,4,1
4231,1,0,1,1,14,8,4,142,1,0,0,14,1,1,0,18,1,0,6.46666666666667,1,1,0,0.333333333333333,4,3
807,3,0,1,1,0,1,2,63,1,5,14,28,0,1,0,3,2,1,2.72222222222222,1,1,0,0.666666666666667,4,3
4237,0,0,1,1,0,0,1,49,1,1,18,50,0,5,0,6,2,0,1.72549019607843,1,1,0,0.285714285714286,4,3
5371,1,0,1,2,0,1,3,65,4,7,11,5,1,4,0,20,2,0,6.25925925925926,0,1,0,1.0,4,4
7400,16,0,2,0,0,6,5,365,3,0,34,4,2,2,0,2,2,2,9.15,1,1,0,0.285714285714286,4,5
165,0,0,1,0,0,2,2,50,1,4,6,2.0,0,1,0,10,2,0,4.2,1,1,0,1.0,1,2
106,16,0,3,3,4,5,5,204,2,5,11,3,2,1,0,35,2,2,8.52941176470588,1,1,0,0.857142857142857,3,4
3733,6,0,2,2,0,2,4,111,4,2,3,1.0,2,2,1,21,2,0,7.11428571428571,1,1,0,0.6,2,6
3216,7,0,1,4,0,1,1,57,28,0,2,52,0,5,0,5,2,0,6.20338983050847,1,1,0,0.666666666666667,2,2
4185,1,0,1,1,0,1,3,58,1,7,3,5,0,1,4,23,2,0,7.85714285714286,1,1,0,1.0,2,2
4195,0,0,1,1,0,0,1,43,1,0,19,51,0,5,2,6,2,0,1.7843137254902,1,1,0,0.25,2,3
3065,1,0,2,1,0,6,4,64,1,1,0,2,5,2,0,9,1,0,9.14285714285714,1,1,0,1.0,6,2
205,0,4,1,1,0,0,2,53,1,5,13,20.5,0,3,0,16.0,3,0,2.88636363636364,1,1,0,1.0,4,5
6739,9,0,1,2,4,1,2,98,3,10,18,12.5,1,3,0,6.5,1,0,4.39622641509434,0,1,0,0.285714285714286,4,3
