CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.83,0.0,59.0,1.0,1.0,0.0,0.0,2.0,4.42,0.0,1.54,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.12,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.67,0.0,2.67,2.0,1.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.9,0.0,8.0,2.0,2.0,2.0,1.0,1.0,9.25,2.0,2.38,1.0,1.0,0.0,0.0,4.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.4,0.0,49.0,1.0,1.0,5.0,9.0,4.0,2.86,0.0,1.9,0.0,1.0,0.5,0.0,3.0,3.0,0
2.0,0.0,1.0,1.0,4.0,8.0,17.0,12.0,0.75,0.0,67.0,2.0,3.0,4.0,14.0,2.0,3.42,0.0,3.36,1.0,1.0,1.0,0.0,4.0,7.0,0
1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.12,0.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0
0.0,0.0,1.0,0.0,4.0,2.0,1.0,6.0,0.91,0.0,23.0,2.0,2.0,0.0,4.0,2.0,3.39,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.83,0.0,7.0,1.0,3.0,1.0,1.0,1.0,5.29,3.0,2.29,1.0,1.0,0.0,0.0,4.0,3.0,0
3.0,0.0,2.0,0.0,3.0,2.0,2.0,6.0,0.46,0.0,24.0,3.0,2.0,0.0,7.0,2.0,3.84,1.0,3.32,1.0,1.0,1.0,0.0,4.0,2.0,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,1.25,1.0,1.75,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.65,0.0,14.0,2.0,2.0,3.0,10.0,1.0,4.29,0.0,2.71,1.0,1.0,0.0,0.0,3.0,6.0,0
0.0,0.0,2.0,0.0,10.0,1.0,0.0,5.0,0.89,1.0,4.0,5.0,3.0,0.0,1.0,1.0,4.75,2.0,7.5,2.0,1.0,0.0,0.0,2.0,1.0,0
0.0,0.0,2.0,0.0,16.0,2.0,3.0,8.0,1.31,1.0,10.0,4.0,3.0,0.0,6.0,1.0,3.9,0.0,6.7,0.0,1.0,0.0,0.0,2.0,5.0,0
0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,0.77,0.0,2.0,1.0,3.0,0.0,2.0,1.0,3.33,3.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.32,0.0,8.0,2.0,2.0,0.0,9.0,1.0,2.25,1.0,2.75,1.0,1.0,0.0,0.0,3.0,2.0,0
0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.25,0.0,11.0,2.0,2.0,0.0,5.0,3.0,1.58,0.0,3.08,1.0,1.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,0.23,0.0,15.0,1.0,1.0,4.0,1.0,1.0,10.93,0.0,1.87,1.0,1.0,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.46,1.0,13.0,1.0,2.0,1.0,5.0,2.0,5.23,0.0,5.62,1.0,1.0,0.0,0.0,3.0,0.0,0
